problem,n,model,seed,MAE,RRMSE,IS,Coverage
branin_hetero,25,Separate GPs,1,11.243144515232173,0.4550231024088293,125.4326476250382,0.734
branin_hetero,25,Separate GPs,2,10.962253301522471,0.4348719453356361,104.7683637646289,0.783
branin_hetero,25,Separate GPs,3,10.769183590701846,0.43261025950841264,117.60338502480192,0.756
branin_hetero,25,Separate GPs,4,11.709091174109318,0.4727658138824145,137.7307695815669,0.719
branin_hetero,25,Separate GPs,5,10.678355645598623,0.42181535779117185,108.28340280206778,0.769
branin_hetero,25,Separate GPs,6,10.6279289121081,0.42537313996356774,105.89299735251154,0.776
branin_hetero,25,Separate GPs,7,11.079437569808606,0.44113562212266294,114.47627456112923,0.746
branin_hetero,25,Separate GPs,8,10.819925068979455,0.42735953995197573,108.01432490982488,0.8109999999999999
branin_hetero,25,Separate GPs,9,10.771301510022806,0.4288113472498245,112.80158318577034,0.7749999999999999
branin_hetero,25,Separate GPs,10,11.188831320139212,0.4470941237905722,116.2307585883231,0.752
branin_hetero,25,Separate GPs,11,10.452006635689317,0.39888328269854584,91.39198460649091,0.827
branin_hetero,25,Separate GPs,12,11.088677137508437,0.4426659316449858,110.45741632155345,0.776
branin_hetero,25,Separate GPs,13,11.66254974665491,0.4746842913479813,140.81122229683757,0.736
branin_hetero,25,Separate GPs,14,9.937073040311386,0.39873434422098714,99.39845284279012,0.8230000000000001
branin_hetero,25,Separate GPs,15,10.582262317981558,0.4191968513551756,107.47642887421827,0.805
branin_hetero,25,Separate GPs,16,11.245403820889097,0.4434188280633591,111.72232905522037,0.787
branin_hetero,25,Separate GPs,17,10.708024532204423,0.42876576655833426,114.98801843451402,0.77
branin_hetero,25,Separate GPs,18,10.698875275570392,0.42507559084440416,111.87122520981896,0.808
branin_hetero,25,Separate GPs,19,10.062610409587844,0.4054271697545655,103.66704775344185,0.7909999999999998
branin_hetero,25,Separate GPs,20,10.369710655019704,0.4147808179757547,108.34782719666967,0.775
branin_hetero,25,Separate GPs,21,11.319525489550282,0.45327091156904836,121.7767730094184,0.747
branin_hetero,25,Separate GPs,22,10.768899126192835,0.4282310105601109,111.90461303618463,0.763
branin_hetero,25,Separate GPs,23,10.6796319382224,0.42664240357427347,110.9359998294178,0.783
branin_hetero,25,Separate GPs,24,11.358844323438209,0.4434105677674525,110.44213951650813,0.7979999999999999
