,,,MAE,MAE,MAE,RRMSE,RRMSE,RRMSE,IS,IS,IS,Coverage,Coverage,Coverage
,,,mean,std,median,mean,std,median,mean,std,median,mean,std,median
problem,n,model,,,,,,,,,,,,
branin_hetero,25,Categorical GP,4.52946,0.24132,4.52731,0.15936,0.0114,0.15872,38.87434,2.01766,38.81755,0.9455,0.00968,0.9455
branin_hetero,25,H-LVGP,2.51984,0.72331,2.38779,0.096,0.03718,0.08657,37.28099,20.10942,28.72915,0.99603,0.01631,1.0
branin_hetero,25,Separate GPs,10.90781,0.46637,10.79561,0.43419,0.02164,0.43071,113.7281,11.60445,111.79678,0.77523,0.02788,0.7755
branin_hetero,25,Standard LVGP,4.41913,1.0629,4.39888,0.21214,0.05078,0.20846,74.79977,30.68903,74.92001,0.442,0.14344,0.4485
branin_hetero,40,Categorical GP,1.58504,0.26771,1.58445,0.05397,0.01241,0.05243,14.86395,0.89629,14.76706,0.99573,0.00951,1.0
branin_hetero,40,H-LVGP,1.72221,0.42485,1.59585,0.06419,0.01927,0.0585,35.61301,10.8256,34.32824,0.99847,0.0084,1.0
branin_hetero,40,Separate GPs,4.45425,0.36102,4.36181,0.20772,0.01661,0.2047,42.87692,1.78367,42.46241,0.93067,0.01078,0.934
branin_hetero,40,Standard LVGP,3.10865,0.70465,3.11586,0.12165,0.03046,0.11752,62.82294,20.08933,60.94693,0.4103,0.14484,0.4255
griewank_6d,48,Categorical GP,0.06602,0.00315,0.06595,0.9392,0.04821,0.94104,0.69521,0.0274,0.69408,0.89311,0.01468,0.89392
griewank_6d,48,H-LVGP,0.09694,0.00714,0.09497,1.24153,0.16899,1.17938,0.93858,0.06987,0.92228,0.84512,0.02062,0.84375
griewank_6d,48,Separate GPs,0.07612,0.00288,0.0757,1.08626,0.03648,1.0823,0.83312,0.03435,0.83397,0.86146,0.01414,0.85938
griewank_6d,48,Standard LVGP,0.10388,0.00948,0.10156,1.37605,0.13368,1.34722,1.38478,0.19315,1.34487,0.71611,0.05196,0.72351
griewank_6d,64,Categorical GP,0.06364,0.00339,0.06264,0.89608,0.04126,0.88464,0.74752,0.02233,0.74689,0.91163,0.00756,0.91138
griewank_6d,64,H-LVGP,0.08357,0.02574,0.07204,1.14053,0.32121,0.99795,0.9156,0.2256,0.81931,0.87572,0.02872,0.88269
griewank_6d,64,Separate GPs,0.0664,0.00157,0.06636,0.97264,0.02499,0.97475,0.77315,0.03103,0.77055,0.8822,0.01043,0.8844
griewank_6d,64,Standard LVGP,0.08599,0.01232,0.08256,1.20965,0.16849,1.16049,1.20252,0.27299,1.13765,0.73602,0.04313,0.74121
sixhump_camel,25,Categorical GP,0.16839,0.00877,0.16995,0.26202,0.01017,0.26038,1.77835,0.13618,1.78636,0.9229,0.0124,0.925
sixhump_camel,25,H-LVGP,0.17797,0.01186,0.17861,0.28666,0.01552,0.28314,2.1531,0.23137,2.15753,0.9051,0.01708,0.9075
sixhump_camel,25,Separate GPs,0.23076,0.00947,0.22932,0.31889,0.00701,0.31937,2.0718,0.06072,2.06972,0.9515,0.00782,0.949
sixhump_camel,25,Standard LVGP,0.15248,0.01807,0.15206,0.24193,0.02944,0.24388,3.40543,0.5206,3.31918,0.4172,0.09706,0.445
sixhump_camel,40,Categorical GP,0.11438,0.01004,0.11346,0.16029,0.0147,0.15948,1.12663,0.16364,1.09919,0.9177,0.01325,0.9175
sixhump_camel,40,H-LVGP,0.14304,0.02363,0.14862,0.22574,0.04231,0.23971,1.1473,0.31846,1.06119,0.9527,0.02901,0.9525
sixhump_camel,40,Separate GPs,0.19617,0.00818,0.19633,0.2951,0.00601,0.29448,2.3131,0.11061,2.32137,0.88843,0.0147,0.8925
sixhump_camel,40,Standard LVGP,0.14524,0.03447,0.15062,0.21153,0.06586,0.23511,3.24013,1.09222,3.21544,0.32407,0.10585,0.3295
